payer_name,plan_type,effective_date,term_date,reimbursement_method,drg_code,drg_description,cpt_code,cpt_description,service_category,contracted_rate,rate_basis,timely_filing_days,timely_filing_days_amended,appeal_window_days,prior_auth_required,carve_outs,renewal_date,amended
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,,,45378,"Colonoscopy, diagnostic",Outpatient,385.0,Outpatient fee schedule,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,,,93452,Left heart catheterization,Outpatient,3100.0,Outpatient fee schedule,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,,,99285,"Emergency dept visit, high complexity",Outpatient,430.0,Outpatient fee schedule,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Sagebrush Regional Health Plan,Regional Commercial HMO,2024-01-01,2025-12-31,Per-DRG case rate,,,29881,Knee arthroscopy w/ meniscectomy,Outpatient,1405.0,Outpatient fee schedule,60,,90,False,Out-of-area emergency services reimbursed at billed charges up to 150% of Medicare.,2025-08-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,470,Major hip and knee joint replacement w/o MCC,,,Inpatient,11125.0,78% of Medicare base,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,247,Percutaneous cardiovascular proc w/ drug-eluting stent,,,Inpatient,14750.0,78% of Medicare base,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,291,Heart failure and shock w/ MCC,,,Inpatient,7175.0,78% of Medicare base,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,871,Septicemia or severe sepsis w/o MV >96h w/ MCC,,,Inpatient,10225.0,78% of Medicare base,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,190,Chronic obstructive pulmonary disease w/ MCC,,,Inpatient,5775.0,78% of Medicare base,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,194,Simple pneumonia and pleurisy w/ CC,,,Inpatient,4750.0,78% of Medicare base,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,765,Cesarean section w/ CC/MCC,,,Inpatient,6475.0,78% of Medicare base,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,853,Infectious & parasitic dis w/ OR proc w/ MCC,,,Inpatient,24575.0,78% of Medicare base,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,329,Major small & large bowel procedures w/ MCC,,,Inpatient,30350.0,78% of Medicare base,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,064,Intracranial hemorrhage or cerebral infarction w/ MCC,,,Inpatient,9900.0,78% of Medicare base,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,,,27447,Total knee arthroplasty,Outpatient,1255.0,Outpatient fee schedule,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,,,70553,MRI brain w/ & w/o contrast,Outpatient,375.0,Outpatient fee schedule,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,,,45378,"Colonoscopy, diagnostic",Outpatient,285.0,Outpatient fee schedule,95,,60,False,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,,,93452,Left heart catheterization,Outpatient,2300.0,Outpatient fee schedule,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,,,99285,"Emergency dept visit, high complexity",Outpatient,320.0,Outpatient fee schedule,95,,60,False,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
Pioneer Valley Medicaid MCO,Medicaid Managed Care,2024-01-01,2025-12-31,Percent of Medicaid fee schedule,,,29881,Knee arthroscopy w/ meniscectomy,Outpatient,1045.0,Outpatient fee schedule,95,,60,True,Non-emergency transportation and dental carved out to state vendor.,2025-09-01,False
